"Region","Location","Rep","Block","Hybrid","GY"
"TB","E10",1,3,"G9",9.65
"TB","E10",1,6,"G20",6.72
"TB","E10",1,5,"G34",6.67
"TB","E10",1,4,"G18",7.69
"TB","E10",1,6,"G30",8.99
"TB","E10",1,5,"G27",9.53
"TB","E10",1,5,"G29",7.28
"TB","E10",1,4,"G26",6.42
"TB","E10",1,3,"G15",7.24
"TB","E10",1,2,"G19",5.72
"TB","E10",1,1,"G5",7.41
"TB","E10",1,4,"G16",7.14
"TB","E10",1,1,"G6",6.89
"TB","E10",1,3,"G17",7.53
"TB","E10",1,2,"G23",8.14
"TB","E10",1,6,"G31",4.95
"TB","E10",1,3,"G12",7.02
"TB","E10",1,5,"G28",4.88
"TB","E10",1,2,"G13",7.76
"TB","E10",1,5,"G24",7.74
"TB","E10",1,5,"G25",7.92
"TB","E10",1,4,"G11",7.59
"TB","E10",1,1,"G21",7.83
"TB","E10",1,4,"G35",6.89
"TB","E10",1,2,"G7",7.54
"TB","E10",1,1,"G8",8.43
"TB","E10",1,1,"G22",7.29
"TB","E10",1,6,"G33",6.91
"TB","E10",1,6,"G32",9.09
"TB","E10",1,3,"G10",6.35
"TB","E10",1,1,"G36",8.21
"TB","E10",1,2,"G14",6.54
"TB","E10",1,2,"G1",7.28
"TB","E10",1,3,"G2",7.01
"TB","E10",1,4,"G4",6.32
"TB","E10",1,6,"G3",7.51
"TB","E10",2,9,"G9",4.77
"TB","E10",2,11,"G20",8.51
"TB","E10",2,8,"G34",6.01
"TB","E10",2,10,"G18",6.2
"TB","E10",2,9,"G30",6.63
"TB","E10",2,11,"G27",8.25
"TB","E10",2,7,"G29",8.29
"TB","E10",2,11,"G26",8.11
"TB","E10",2,8,"G15",6.36
"TB","E10",2,11,"G19",6.7
"TB","E10",2,12,"G5",5.75
"TB","E10",2,7,"G16",6.58
"TB","E10",2,9,"G6",7.58
"TB","E10",2,11,"G17",5.73
"TB","E10",2,7,"G23",8.36
"TB","E10",2,7,"G31",5.96
"TB","E10",2,10,"G12",6.68
"TB","E10",2,12,"G28",6.02
"TB","E10",2,12,"G13",6.3
"TB","E10",2,9,"G24",5.46
"TB","E10",2,10,"G25",7.12
"TB","E10",2,8,"G11",6.16
"TB","E10",2,8,"G21",7.17
"TB","E10",2,12,"G35",7.83
"TB","E10",2,8,"G7",6.47
"TB","E10",2,10,"G8",8.31
"TB","E10",2,11,"G22",6.52
"TB","E10",2,12,"G33",6.36
"TB","E10",2,8,"G32",8.86
"TB","E10",2,7,"G10",5.17
"TB","E10",2,7,"G36",7.99
"TB","E10",2,9,"G14",4.66
"TB","E10",2,9,"G4",8.98
"TB","E10",2,10,"G1",6.63
"TB","E10",2,10,"G3",6.58
"TB","E10",2,12,"G2",5.34
"TB","E11",1,3,"G9",11.67
"TB","E11",1,6,"G20",9.67
"TB","E11",1,5,"G34",8.53
"TB","E11",1,4,"G18",9.68
"TB","E11",1,6,"G30",8.79
"TB","E11",1,5,"G27",7.48
"TB","E11",1,5,"G29",10.99
"TB","E11",1,4,"G26",10.6
"TB","E11",1,3,"G15",6.68
"TB","E11",1,2,"G19",7.52
"TB","E11",1,1,"G5",8.27
"TB","E11",1,4,"G16",8.81
"TB","E11",1,1,"G6",9.72
"TB","E11",1,3,"G17",10.41
"TB","E11",1,2,"G23",9.75
"TB","E11",1,6,"G31",5.51
"TB","E11",1,3,"G12",8.36
"TB","E11",1,5,"G28",5.75
"TB","E11",1,2,"G13",9.72
"TB","E11",1,5,"G24",9.85
"TB","E11",1,5,"G25",8.41
"TB","E11",1,4,"G11",8.72
"TB","E11",1,1,"G21",9.53
"TB","E11",1,4,"G35",9.9
"TB","E11",1,2,"G7",8.27
"TB","E11",1,1,"G8",10.91
"TB","E11",1,1,"G22",9.79
"TB","E11",1,6,"G33",5.42
"TB","E11",1,6,"G32",5.24
"TB","E11",1,3,"G10",8.58
"TB","E11",1,1,"G36",11.66
"TB","E11",1,2,"G14",9.74
"TB","E11",1,2,"G1",9.66
"TB","E11",1,3,"G2",9.97
"TB","E11",1,4,"G4",9.17
"TB","E11",1,6,"G3",10.9
"TB","E11",2,9,"G9",12.26
"TB","E11",2,11,"G20",8.91
"TB","E11",2,8,"G34",7.57
"TB","E11",2,10,"G18",9.82
"TB","E11",2,9,"G30",10.31
"TB","E11",2,11,"G27",9.3
"TB","E11",2,7,"G29",10.89
"TB","E11",2,11,"G26",12.06
"TB","E11",2,8,"G15",7.23
"TB","E11",2,11,"G19",8.83
"TB","E11",2,12,"G5",7.94
"TB","E11",2,7,"G16",9.89
"TB","E11",2,9,"G6",9.69
"TB","E11",2,11,"G17",8.88
"TB","E11",2,7,"G23",9.02
"TB","E11",2,7,"G31",7.86
"TB","E11",2,10,"G12",9.43
"TB","E11",2,12,"G28",6.7
"TB","E11",2,12,"G13",8.39
"TB","E11",2,9,"G24",11.59
"TB","E11",2,10,"G25",9.19
"TB","E11",2,8,"G11",10.23
"TB","E11",2,8,"G21",9.29
"TB","E11",2,12,"G35",9.07
"TB","E11",2,8,"G7",10.42
"TB","E11",2,10,"G8",11.5
"TB","E11",2,11,"G22",11.29
"TB","E11",2,12,"G33",6.05
"TB","E11",2,8,"G32",8.02
"TB","E11",2,7,"G10",7.42
"TB","E11",2,7,"G36",10.6
"TB","E11",2,9,"G14",10.21
